date,logical cpu,jdk,clojure,type,parallelism,time (ms)
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",1,  9999.430526
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",2,  6112.124196
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",3,  4579.741014
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",4,  4390.74027
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",6,  3939.965605
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",8,  3941.542074
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",12, 4370.16194
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",16, 5072.165722
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",24, 5785.59474
2016/01/20,8,1.8.0_72,1.6.0,"512_cubes",32, 7095.016841
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",1, 11302.387069
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",2, 7207.281101
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",3, 4272.090064
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",4, 3632.671932
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",6, 6390.675048
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",8, 3928.279601
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",12,5353.46748
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",16,8003.314276
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",24,9125.155877
2016/01/20,8,1.8.0_72,1.6.0,"single_tri",32,14693.607421
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",1,  10286.174536
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",2,  5954.52718
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",3,  4996.71904
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",4,  4296.890805
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",6,  3803.670379
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",8,  4008.145226
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",12, 4521.652064
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",16, 4986.701349
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",24, 6303.859787
2016/01/20,8,1.8.0_72,1.7.0,"512_cubes",32, 7077.65217
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",1, 10934.290295
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",2, 5894.199803
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",3, 4452.037704
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",4, 3654.358313
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",6, 3729.522107
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",8, 7037.528888
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",12,7328.655792
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",16,5389.256015
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",24,12072.959639
2016/01/20,8,1.8.0_72,1.7.0,"single_tri",32,15118.943025
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",1,  9572.207255
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",2,  6124.779465
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",3,  4821.058468
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",4,  4242.037954
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",6,  3832.501818
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",8,  3649.07473
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",12, 4505.3605
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",16, 4960.02928
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",24, 5759.259973
2016/01/20,8,1.8.0_72,1.8.0,"512_cubes",32, 6617.979892
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",1, 10858.63969
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",2, 6692.824615
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",3, 6273.272068
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",4, 3852.460746
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",6, 3694.851187
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",8, 6676.771569
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",12,4447.38357
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",16,11284.081369
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",24,12096.663147
2016/01/20,8,1.8.0_72,1.8.0,"single_tri",32,14888.58056
